,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,9644,#convicttrump,9.174,33.368,17.366
1,0.27,10050,#trumptreason,9.215,47.185,-74.489
2,0.298,5,#nomeansno,1.609,-27.655,-45.743
3,0.338,797,#eeltheseditionists,6.681,-62.532,20.899
4,0.368,19311,must,9.868,77.273,-46.917
5,0.368,885,#seditionhasconsequences,6.786,59.324,110.976
6,0.39,262,#convictandremove,5.568,3.566,-24.185
7,0.39,829,thamendment,6.72,-52.5,57.137
8,0.397,2034,#trumpcoupattempt,7.618,-58.384,-112.238
9,0.403,429,#accountability,6.061,5.981,44.14
10,0.405,271,#marinesagainsttrump,5.602,62.888,37.826
11,0.407,452,#seditiousgop,6.114,22.761,-112.48
12,0.417,941,#impeachtrump,6.847,1.29,7.183
13,0.426,78,#convictremovedisqualifynow,4.357,-100.416,2.367
14,0.442,886,#traitortrump,6.787,116.495,-20.836
15,0.445,724,#americaortrump,6.585,-60.093,-63.74
16,0.447,406,#trumpcrimefamilyforprison,6.006,-64.787,-20.516
17,0.45,185,#prosecutethemall,5.22,-26.155,30.308
18,0.455,5,#bidenharristohealus,1.609,-107.626,-49.48
19,0.456,98213,senate,11.495,65.76,-2.923
20,0.457,10,#hesadangertoamerica,2.303,95.853,-104.023
21,0.459,3062,dear,8.027,39.57,-24.684
22,0.46,7513,#insurrection,8.924,-102.984,50.313
23,0.46,743,#seditioncaucus,6.611,-17.973,-86.559
24,0.464,14,#trumpfailsamerica,2.639,10.343,-58.79
25,0.469,10,#copkillertrump,2.303,-18.047,73.848
26,0.475,1402,@meidastouch,7.246,37.125,63.982
27,0.478,177,#boycottmypillow,5.176,-22.921,126.231
28,0.483,184,#removethemall,5.215,-69.337,93.565
29,0.488,12,#criminalpresident,2.485,100.977,22.647
30,0.49,11,adpf,2.398,86.553,71.413
31,0.491,236,#lockthemallup,5.464,14.759,95.861
