,Date (GMT),Count
187,2013-04-23 14:00:00,2
188,2013-04-23 15:00:00,2
189,2013-04-23 16:00:00,3
190,2013-04-23 17:00:00,2
191,2013-04-23 18:00:00,1
192,2013-04-23 19:00:00,0
193,2013-04-23 20:00:00,0
194,2013-04-23 21:00:00,4
195,2013-04-23 22:00:00,0
196,2013-04-23 23:00:00,0
197,2013-04-24 00:00:00,0
198,2013-04-24 01:00:00,1
199,2013-04-24 02:00:00,0
200,2013-04-24 03:00:00,0
201,2013-04-24 04:00:00,0
202,2013-04-24 05:00:00,0
203,2013-04-24 06:00:00,1
204,2013-04-24 07:00:00,0
205,2013-04-24 08:00:00,2
206,2013-04-24 09:00:00,0
207,2013-04-24 10:00:00,0
208,2013-04-24 11:00:00,2
209,2013-04-24 12:00:00,0
210,2013-04-24 13:00:00,2
211,2013-04-24 14:00:00,0
212,2013-04-24 15:00:00,3
213,2013-04-24 16:00:00,4
214,2013-04-24 17:00:00,1
215,2013-04-24 18:00:00,1
216,2013-04-24 19:00:00,2
217,2013-04-24 20:00:00,0
218,2013-04-24 21:00:00,0
219,2013-04-24 22:00:00,1
220,2013-04-24 23:00:00,0
221,2013-04-25 00:00:00,1
222,2013-04-25 01:00:00,2
223,2013-04-25 02:00:00,0
224,2013-04-25 03:00:00,1
225,2013-04-25 04:00:00,1
226,2013-04-25 05:00:00,2
227,2013-04-25 06:00:00,0
228,2013-04-25 07:00:00,1
229,2013-04-25 08:00:00,0
230,2013-04-25 09:00:00,3
231,2013-04-25 10:00:00,1
232,2013-04-25 11:00:00,0
233,2013-04-25 12:00:00,3
234,2013-04-25 13:00:00,0
235,2013-04-25 14:00:00,3
236,2013-04-25 15:00:00,1
237,2013-04-25 16:00:00,0
238,2013-04-25 17:00:00,1
239,2013-04-25 18:00:00,7
240,2013-04-25 19:00:00,0
241,2013-04-25 20:00:00,2
242,2013-04-25 21:00:00,1
243,2013-04-25 22:00:00,0
244,2013-04-25 23:00:00,0
245,2013-04-26 00:00:00,0
246,2013-04-26 01:00:00,1
247,2013-04-26 02:00:00,0
248,2013-04-26 03:00:00,1
249,2013-04-26 04:00:00,2
250,2013-04-26 05:00:00,0
251,2013-04-26 06:00:00,1
252,2013-04-26 07:00:00,0
253,2013-04-26 08:00:00,1
254,2013-04-26 09:00:00,0
255,2013-04-26 10:00:00,0
256,2013-04-26 11:00:00,1
257,2013-04-26 12:00:00,0
258,2013-04-26 13:00:00,1
