True,Pred,Weeks
5.214935757608986,5.526770554644041,0
5.389071729816501,5.385287300215628,1
5.402677381872279,5.441428576028271,2
5.438079308923196,5.433108358012925,3
6.2878585601617845,5.445543440742689,4
5.91350300563827,5.915223580854705,5
5.53338948872752,5.7795458105022695,6
5.135798437050262,5.594297358370953,7
5.2832037287379885,5.335531141022258,8
5.846438775057725,5.355478219349734,9
5.225746673713202,5.6328699260998265,10
5.493061443340548,5.32451642730935,11
5.768320995793772,5.4445205658235345,12
5.356586274672012,5.568138126683989,13
7.149131598557407,5.38010154059832,14
6.683360945766275,6.227602292970282,15
6.26530121273771,6.135370720650168,16
5.583496308781699,6.033945911367199,17
5.62040086571715,5.558375342584023,18
5.666426688112432,5.546766642601673,19
6.052089168924417,5.567784733327829,20
5.424950017481403,5.772840797722823,21
5.521460917862246,5.480846090966777,22
5.420534999272286,5.489523329254504,23
5.940171252720432,5.430725270008443,24
5.886104031450156,5.673656902077352,25
5.44673737166631,5.679083253954658,26
5.54907608489522,5.457368129298751,27
5.472270673671475,5.481679283304356,28
5.616771097666572,5.442173123976006,29
6.587550014824796,5.500569739610833,30
6.709304340258298,5.986409840765592,31
6.150602768446279,6.130907641943583,32
7.575071699507561,5.857199239239069,33
5.501258210544727,6.682413883260709,34
4.875197323201151,5.7003414873955975,35
4.941642422609304,5.251316856483244,36
4.919980925828125,5.034234569790137,37
5.153291594497779,5.1660280353816574,38
5.278114659230517,5.318671994023848,39
4.61512051684126,5.369860219147325,40
4.9344739331306915,5.027640585530804,41
4.927253685157205,5.108523273979288,42
4.74493212836325,5.0753232752909705,43
4.812184355372417,5.019525476601701,44
4.406719247264253,4.994999324346962,45
6.035481432524756,4.759432791950064,46
4.465908118654584,5.541414994828227,47
4.927253685157205,4.9517519345777075,48
4.51085950651685,5.018532359875806,49
4.204692619390966,4.774436923036941,50
4.442651256490317,4.627673960910682,51
4.890349128221754,4.635345009236012,52
4.672828834461906,4.870809908844863,53
4.248495242049359,4.83231110038234,54
4.969813299576001,4.5863199435678075,55
4.2626798770413155,4.820357565541666,56
5.187385805840755,4.585736637099195,57
4.060443010546419,4.91013495354997,58
4.74493212836325,4.538717335769798,59
4.23410650459726,4.632021611430949,60
6.192362489474872,4.519515962697038,61
5.429345628954441,5.1597768800233785,62
4.890349128221754,5.295704193051621,63
4.61512051684126,4.832892079858227,64
4.68213122712422,4.676346270735466,65
4.9344739331306915,4.665528265141196,66
4.836281906951478,4.77499623673879,67
4.709530201312334,4.764710618115086,68
4.61512051684126,4.679208488646107,69
4.418840607796598,4.622729636346084,70
4.382026634673881,4.525746159673261,71
4.394449154672439,4.469436511730262,72
4.110873864173311,4.465037845592748,73
5.327876168789581,4.340829653189821,74
5.099866427824199,4.751507693768622,75
4.844187086458591,4.886829483298237,76
5.087596335232384,4.675268642900717,77
4.127134385045092,4.749533643998707,78
4.23410650459726,4.424919411758681,79
