,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,5293,#joebiden,8.574,18.8,-141.573
1,0.24,14820,#biden,9.604,-70.62,98.941
2,0.249,648,#kamalaharris,6.474,81.493,-77.935
3,0.312,19,#well,2.944,16.668,176.277
4,0.327,758,#ladygaga,6.631,-6.627,-52.067
5,0.333,4818,#usa,8.48,-44.579,16.401
6,0.336,145,saveu,4.977,5.78,25.777
7,0.343,15,klimeylemi,2.708,-129.138,23.364
8,0.36,3430,#bidenharris,8.14,76.394,-34.232
9,0.37,6,#jeromepowell,1.792,53.548,97.799
10,0.38,24,#copelandnetwork,3.178,69.979,9.594
11,0.39,14,#incredibleindia,2.639,-40.621,-127.734
12,0.398,6,#demcheats,1.792,-30.512,-181.635
13,0.4,44,apparences,3.784,-87.168,-54.596
14,0.402,65,#avondklok,4.174,-10.812,114.495
15,0.417,5,#duopoly,1.609,46.395,45.588
16,0.418,1336,#america,7.197,98.8,53.586
17,0.431,5208,#inauguration,8.558,30.821,-15.225
18,0.436,106,#wintheera,4.663,34.792,-62.389
19,0.437,237,electo,5.468,-35.838,59.945
20,0.442,19,#joebidenkamalaharris,2.944,-48.265,-32.836
21,0.442,7,#seguridad,1.946,-92.262,-103.023
22,0.447,100,#reset,4.605,-133.167,-37.678
23,0.449,6,#senschumer,1.792,-11.654,-10.867
24,0.452,661,#president,6.494,67.104,-122.143
25,0.455,26439,#impeachment,10.183,-84.672,48.486
26,0.46,230,#jenniferlopez,5.438,120.459,-8.697
27,0.463,557,#whitehouse,6.323,7.984,70.953
28,0.464,174,#harris,5.159,4.859,-96.95
29,0.465,17,#capitolinvasion,2.833,-85.835,-4.511
30,0.466,43,#asaltoalcapitolio,3.761,-42.252,-80.121
