,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,98487,#trump,11.498,-5.491,33.81
1,0.197,20422,#donaldtrump,9.924,-37.361,-69.889
2,0.324,46226,#biden,10.741,49.383,47.794
3,0.328,8661,#maga,9.067,84.767,-25.26
4,0.349,14610,#usa,9.589,-64.988,-41.943
5,0.352,55123,donald,10.917,75.681,19.644
6,0.356,8,#bursturhead,2.079,-1.198,-86.967
7,0.363,8,@bbytoki,2.079,2.517,-21.032
8,0.374,5,@aggressivedem,1.609,19.272,22.378
9,0.377,11331,#covid,9.335,-22.394,-9.732
10,0.381,8,@jaynuhlol,2.079,80.958,58.988
11,0.385,6,#lyingdogfacedponysoldier,1.792,-30.865,43.901
12,0.386,2412,#gop,7.788,44.341,16.01
13,0.396,18206,#joebiden,9.81,35.87,79.126
14,0.398,8,@editslew,2.079,63.702,-46.973
15,0.418,15,yalna,2.708,18.974,48.752
16,0.423,337485,trump,12.729,4.112,-49.503
17,0.43,9,#usindiarelation,2.197,110.376,3.408
18,0.43,3786,#america,8.239,51.308,-11.87
19,0.437,6336,#trumptreason,8.754,-5.126,66.754
20,0.443,8,@cluby,2.079,-83.591,-4.045
21,0.444,2811,#trumpseriesfinale,7.941,-23.601,-37.322
22,0.445,5,zakresie,1.609,-87.864,30.653
23,0.447,9665,long,9.176,29.868,-33.497
24,0.453,1713,#china,7.446,33.625,-68.706
25,0.459,273,#randomtrump,5.609,4.687,96.839
26,0.461,1702,#politics,7.44,23.953,-5.093
27,0.461,5634,#trumpslastday,8.637,-50.187,-13.882
28,0.462,7,#bankruptfoxnews,1.946,-63.746,54.3
29,0.462,4188,@potus,8.34,-27.467,15.809
30,0.465,4650,#capitol,8.445,-36.736,77.647
31,0.471,6,deslumbrante,1.792,-55.957,17.845
