True,Pred,Weeks
8.175547596021026,8.166976478600633,0
8.042056410058754,8.119879171392178,1
8.080237416216702,8.081837020958714,2
7.908754738783246,8.111723802239686,3
9.147400572202308,8.040399975653937,4
9.44057869576626,8.455894730317336,5
8.165647925297504,8.495257690010542,6
7.780720886117918,8.015121415177521,7
7.757478766584179,8.1430758023869,8
8.307705966549513,8.122632477073665,9
7.723120092266331,8.305713076292589,10
7.700747794511798,7.942442303894318,11
7.635786861395585,8.028796587732048,12
7.80057265467065,7.965840052869176,13
8.10349427838097,8.018021921777272,14
7.731930721948486,8.101653404614195,15
7.998335395952982,7.902627090899613,16
7.772331575169614,8.09085316488411,17
7.656337166430183,7.94067429988449,18
7.94873845481361,7.931617507535016,19
7.554858521040676,8.05330448060144,20
8.165932137321585,7.829668435197872,21
8.013012110368916,8.14064208697728,22
7.962415680121064,7.9790657957885225,23
7.832014180505469,8.010696700928946,24
8.053887083618223,7.971682840531329,25
8.258422462458876,8.075062144034371,26
8.0040315078527,8.11818470693055,27
8.064950891749143,8.004521056211942,28
7.672292455628756,8.08322428477701,29
8.378850241794492,7.885932771465972,30
9.437953917961844,8.274627428168927,31
8.87066300440602,8.573435303988346,32
8.305978210967302,8.282539402152201,33
8.11522197256233,8.097945667905483,34
8.299534570332597,8.09785247281225,35
8.260492856573185,8.185645936566083,36
8.931948346431495,8.149170255032498,37
9.773720494477063,8.48431423390058,38
9.394576760974909,8.840647900538105,39
8.95402775927046,8.614620716051679,40
8.420021279663963,8.49132242654196,41
7.344719054149673,8.205281995111132,42
7.175489713624222,7.673215961427518,43
7.280697195384741,7.723373180320075,44
7.761319180947987,7.7443876133293985,45
7.806696372521179,8.05280440789111,46
7.31455283232408,7.944142216596054,47
7.818027938530729,7.703710055512858,48
7.516433302915632,8.041541056665409,49
7.505492274737424,7.758921518035694,50
8.269500767180615,7.851109112396363,51
8.751474487140904,8.248335832673805,52
8.556029215201436,8.47670614323896,53
7.987864096085687,8.267530841501332,54
7.640123172695364,7.996217869430412,55
7.613818684808629,7.833729081183044,56
7.6586995582682995,7.891141007748553,57
7.578656850594762,7.880234365316496,58
7.634820677745543,7.850506795311547,59
7.526717561352706,7.8694107169535235,60
7.532088143541722,7.801358326967194,61
7.867871490396322,7.810320156595084,62
7.789040401657477,8.026935685624565,63
7.5740450053721995,7.89900468165865,64
7.681560362559537,7.8160245727285504,65
7.311886164077165,7.878146412193418,66
7.317876198626496,7.627362013474243,67
7.168579897264035,7.693646061527943,68
7.037905963447182,7.5361841454481056,69
7.13966033596492,7.502409741472613,70
7.457609289715606,7.521168103626271,71
7.2078598714324755,7.761540421694151,72
7.266827347520591,7.4843630678367274,73
7.081708586105575,7.639780599914586,74
7.135687347028144,7.364083760467445,75
7.2485040723706105,7.411344729672255,76
7.5766097669730375,7.457574159717789,77
8.187855443695623,7.658255399196748,78
8.035602692918582,8.089040745357368,79
