,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,4822,#bidenharris,8.481,25.181,-16.99
1,0.176,3532,#bidenharrisinauguration,8.17,-21.321,51.03
2,0.243,135,#bumpup,4.905,-45.784,38.01
3,0.311,545,@ambassadorrice,6.301,19.96,91.781
4,0.34,9883,#joebiden,9.199,69.467,-49.053
5,0.362,28065,#inauguration,10.242,57.585,53.494
6,0.375,1178,#bidentakeaction,7.072,-44.835,74.084
7,0.375,3851,#kamalaharris,8.256,87.2,-6.925
8,0.392,386,wokeness,5.956,-5.258,73.375
9,0.394,25482,@joebiden,10.146,-101.797,-18.404
10,0.398,36064,#inaugurationday,10.493,21.563,-77.519
11,0.412,5,#bidenharrislandslide,1.609,-73.791,56.657
12,0.413,1389,#bideninauguration,7.236,6.017,8.841
13,0.417,8,panico,2.079,30.066,-43.777
14,0.42,96,crea,4.564,-0.129,-17.963
15,0.423,19800,#biden,9.893,-77.516,15.088
16,0.427,412,#buildbackbetter,6.021,57.566,84.839
17,0.432,110,#eritreaoutoftigray,4.7,-61.608,-20.966
18,0.432,109,#bidencheatedandgotcaught,4.691,61.737,17.636
19,0.434,13348,@kamalaharris,9.499,-45.219,7.603
20,0.44,5,#stipemesic,1.609,-14.362,-77.889
21,0.44,72,#grenfelltower,4.277,-2.425,-44.572
22,0.44,35,#democracygumbo,3.555,55.828,-13.786
23,0.445,5,#americaisback,1.609,32.151,8.272
24,0.447,71,ministero,4.263,-20.547,-2.996
25,0.45,384,passwords,5.951,-48.754,-53.84
26,0.454,30,#barronfamily,3.401,-30.766,111.566
27,0.458,267,#presidentelectbiden,5.587,-29.613,-28.797
28,0.458,6,effieciently,1.792,22.995,59.512
29,0.46,11,@magepetorr,2.398,-17.937,22.454
30,0.468,107,#stopethnicprofilingtigrayans,4.673,5.185,36.466
31,0.47,218,#kamalaharrismakinghistory,5.384,87.562,31.819
