,Date (GMT),Count
164,2013-04-18 21:00:00,3
165,2013-04-18 22:00:00,1
166,2013-04-18 23:00:00,2
167,2013-04-19 00:00:00,2
168,2013-04-19 01:00:00,1
169,2013-04-19 02:00:00,1
170,2013-04-19 03:00:00,0
171,2013-04-19 04:00:00,0
172,2013-04-19 05:00:00,0
173,2013-04-19 06:00:00,0
174,2013-04-19 07:00:00,0
175,2013-04-19 08:00:00,1
176,2013-04-19 09:00:00,0
177,2013-04-19 10:00:00,1
178,2013-04-19 11:00:00,1
179,2013-04-19 12:00:00,0
180,2013-04-19 13:00:00,0
181,2013-04-19 14:00:00,1
182,2013-04-19 15:00:00,0
183,2013-04-19 16:00:00,4
184,2013-04-19 17:00:00,0
185,2013-04-19 18:00:00,1
186,2013-04-19 19:00:00,0
187,2013-04-19 20:00:00,0
188,2013-04-19 21:00:00,0
189,2013-04-19 22:00:00,0
190,2013-04-19 23:00:00,4
191,2013-04-20 00:00:00,1
192,2013-04-20 01:00:00,2
193,2013-04-20 02:00:00,0
194,2013-04-20 03:00:00,0
195,2013-04-20 04:00:00,0
196,2013-04-20 05:00:00,0
197,2013-04-20 06:00:00,0
198,2013-04-20 07:00:00,1
199,2013-04-20 08:00:00,0
200,2013-04-20 09:00:00,0
201,2013-04-20 10:00:00,0
202,2013-04-20 11:00:00,0
203,2013-04-20 12:00:00,0
204,2013-04-20 13:00:00,0
205,2013-04-20 14:00:00,0
206,2013-04-20 15:00:00,0
207,2013-04-20 16:00:00,0
208,2013-04-20 17:00:00,0
209,2013-04-20 18:00:00,0
210,2013-04-20 19:00:00,0
211,2013-04-20 20:00:00,0
212,2013-04-20 21:00:00,0
213,2013-04-20 22:00:00,0
214,2013-04-20 23:00:00,0
215,2013-04-21 00:00:00,0
216,2013-04-21 01:00:00,1
217,2013-04-21 02:00:00,0
218,2013-04-21 03:00:00,0
219,2013-04-21 04:00:00,0
220,2013-04-21 05:00:00,0
221,2013-04-21 06:00:00,0
222,2013-04-21 07:00:00,0
223,2013-04-21 08:00:00,0
224,2013-04-21 09:00:00,0
225,2013-04-21 10:00:00,0
226,2013-04-21 11:00:00,2
227,2013-04-21 12:00:00,1
228,2013-04-21 13:00:00,0
229,2013-04-21 14:00:00,1
230,2013-04-21 15:00:00,0
231,2013-04-21 16:00:00,0
232,2013-04-21 17:00:00,1
233,2013-04-21 18:00:00,0
