,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,93623,#inaugurationday,11.447,26.573,70.334
1,0.115,73018,#inauguration,11.198,-50.673,139.061
2,0.206,13388,#bidenharrisinauguration,9.502,-88.12,110.135
3,0.309,11071,#bidenharris,9.312,-46.853,94.122
4,0.319,8,@cluby,2.079,-65.643,58.35
5,0.327,9,#usindiarelation,2.197,82.667,22.852
6,0.341,99,#thestandardnews,4.595,62.705,-10.446
7,0.348,8,@jaynuhlol,2.079,42.042,25.909
8,0.349,2986,#bideninauguration,8.002,-29.021,35.308
9,0.36,8,@ehuves,2.079,-14.707,70.19
10,0.361,54882,@joebiden,10.913,40.851,-44.119
11,0.365,12316,wait,9.419,-42.102,-112.158
12,0.37,18206,#joebiden,9.81,90.667,-46.11
13,0.379,1502,#presidentbiden,7.315,-111.17,61.367
14,0.383,6,#lyingdogfacedponysoldier,1.792,11.432,-86.778
15,0.383,8,#bursturhead,2.079,-7.911,2.122
16,0.389,18669,@kamalaharris,9.835,8.644,35.023
17,0.398,102333,tomorrow,11.536,-42.742,-71.39
18,0.398,5634,#trumpslastday,8.637,-127.41,-11.031
19,0.409,7580,beautiful,8.933,111.21,65.668
20,0.41,5,@nila,1.609,63.26,-85.173
21,0.414,5006,#kamalaharris,8.518,-47.241,4.905
22,0.417,10070,ready,9.217,-1.036,110.627
23,0.423,9,#anewyearfornewbeginnings,2.197,-75.014,-29.317
24,0.428,5,@ajitsinghpundir,1.609,62.504,58.313
25,0.431,5,@pashasehgal,1.609,-31.182,-28.723
26,0.433,14325,thank,9.57,2.17,-41.81
27,0.433,5,@whoiskevinjones,1.609,35.057,140.594
28,0.435,8313,celebrate,9.026,24.592,-8.045
29,0.437,622,#presidentelectbiden,6.433,119.359,-5.055
30,0.439,15846,#washingtondc,9.671,68.122,102.664
31,0.44,11270,work,9.33,-103.796,-69.709
