,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,36064,#inaugurationday,10.493,-92.971,-43.759
1,0.195,28065,#inauguration,10.242,-21.099,158.148
2,0.267,3532,#bidenharrisinauguration,8.17,-86.713,-106.057
3,0.365,3082,#aftertrump,8.033,-72.807,7.339
4,0.398,4822,#bidenharris,8.481,-81.33,175.314
5,0.406,4941,#mlkday,8.505,-95.354,109.602
6,0.408,33052,days,10.406,140.151,-72.96
7,0.411,13348,@kamalaharris,9.499,22.799,-143.45
8,0.42,18,#devcommunity,2.89,-160.002,102.278
9,0.426,10,#komunizm,2.303,-30.125,97.748
10,0.434,262,#itsshowtime,5.568,25.64,36.576
11,0.439,18,#flutter,2.89,21.403,87.744
12,0.448,13,#scritturebrevi,2.565,54.171,-75.451
13,0.449,3851,#kamalaharris,8.256,-70.741,58.672
14,0.46,25482,@joebiden,10.146,-149.027,-19.025
15,0.46,1389,#bideninauguration,7.236,-191.366,46.151
16,0.47,29,veee,3.367,91.767,-27.163
17,0.472,9883,#joebiden,9.199,-16.601,-93.763
18,0.472,11,@magepetorr,2.398,42.839,154.175
19,0.475,103,#smallbusiness,4.635,-16.36,-2.92
20,0.476,21,@sachsende,3.045,100.461,-125.651
21,0.488,11,@jledezmah,2.398,9.009,-48.873
22,0.49,10282,hope,9.238,39.054,-11.631
23,0.492,24,#livepositions,3.178,-123.759,36.327
24,0.496,9,#twitteraccountsuspend,2.197,-22.383,44.718
25,0.496,2081,miss,7.641,-42.879,-46.277
26,0.501,27499,wednesday,10.222,126.606,49.018
27,0.502,7581,#washingtondc,8.933,-160.923,-90.895
28,0.504,11,@maruvilla,2.398,78.534,95.935
29,0.504,75,@zerlinashow,4.317,-50.53,-160.1
30,0.511,11700,tweet,9.367,74.424,29.421
