,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,1324,#trumpimpeachment,7.188,-106.235,121.111
1,0.217,645,#trumpisacompletefailure,6.469,-37.631,-41.847
2,0.235,570,#trumpfailedamerica,6.346,-92.153,-28.953
3,0.263,6336,#trumptreason,8.754,-143.992,-57.673
4,0.275,762,#impeachedtwice,6.636,71.67,128.6
5,0.278,25,justiceuk,3.219,34.516,-96.901
6,0.281,1717,#trumpcoupattempt,7.448,-82.505,-82.857
7,0.296,275,#goodriddance,5.617,26.2,85.717
8,0.319,60,gebrauchen,4.094,-125.493,-135.432
9,0.321,550,#trumpisacriminal,6.31,115.081,18.577
10,0.324,693,#trumpbanned,6.541,-125.299,19.584
11,0.325,2811,#trumpseriesfinale,7.941,72.369,-17.876
12,0.33,3300,#byebyetrump,8.102,93.515,-72.242
13,0.331,334,#trumpcrimefamilyforprison,5.811,83.4,-143.727
14,0.352,25,kongressissa,3.219,-65.543,14.851
15,0.355,457,#byetrump,6.125,-9.932,1.839
16,0.355,26,#notmyeresident,3.258,80.771,60.919
17,0.372,5634,#trumpslastday,8.637,-79.293,67.151
18,0.373,5,delilah,1.609,135.699,99.997
19,0.373,34,#trumpsgoingtoprison,3.526,-151.836,76.578
20,0.379,687,#traitortrump,6.532,5.07,-159.829
21,0.379,792,#trumpcrimefamily,6.675,-20.431,53.314
22,0.38,23,#unitynotimmunity,3.135,21.019,-44.621
23,0.386,13,#trumpfailsamerica,2.565,-61.919,174.23
24,0.387,26,inem,3.258,-26.139,-97.809
25,0.389,96,#trumpisnotwell,4.564,188.842,38.509
26,0.394,1045,#impeachmentday,6.952,8.985,157.789
27,0.396,4264,#byedon,8.358,154.893,-31.774
28,0.397,773,#seditionhasconsequences,6.65,156.061,-110.678
29,0.402,8,#plantdelightsnursery,2.079,-31.966,109.759
30,0.402,210,#trumpmeltdown,5.347,34.664,25.006
31,0.402,34,#prosecutetrumpforcrimesagainsthumanity,3.526,-186.762,-1.448
