,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,3338,#uscapitol,8.113,9.669,-52.469
1,0.255,1397,@prisonplanet,7.242,-39.284,-57.635
2,0.355,197,#helpid,5.283,71.519,-142.653
3,0.361,364,#capitolsiege,5.897,67.036,33.523
4,0.393,1397,@mrandyngo,7.242,40.962,65.594
5,0.414,89,#capitalhill,4.489,158.146,-86.846
6,0.421,1369,@nationalfile,7.222,-41.175,76.725
7,0.422,7569,seen,8.932,-53.152,-146.364
8,0.431,10,#sabadoelitedosdv,2.303,74.479,-11.53
9,0.442,2022,@rsbnetwork,7.612,-0.194,60.99
10,0.447,13,carregando,2.565,117.977,19.473
11,0.449,1978,amid,7.59,30.32,-16.589
12,0.452,428,#january,6.059,-15.321,-96.106
13,0.454,137,#goodfellas,4.92,-59.269,4.904
14,0.456,1880,breach,7.539,-68.755,124.238
15,0.461,1786,innocent,7.488,-17.809,-18.341
16,0.472,5,constar,1.609,105.914,-45.518
17,0.476,5305,#capitol,8.576,40.899,109.004
18,0.477,3919,authorities,8.274,-113.934,20.165
19,0.484,844,storming,6.738,39.749,-96.582
20,0.484,1646,#whitehouse,7.406,19.034,20.339
21,0.485,1420,#blacklivesmatter,7.258,-10.252,119.326
22,0.486,10,#politicalprisoners,2.303,97.444,84.455
23,0.487,3931,later,8.277,-77.488,-31.353
24,0.498,2161,@oann,7.678,59.829,-56.358
25,0.498,347,#violence,5.849,150.591,-16.8
26,0.499,65,#airportarrest,4.174,-109.616,79.379
27,0.5,2133,#capitolriots,7.665,-130.784,-30.496
28,0.503,6,@paesiedizoni,1.792,-70.963,45.127
29,0.503,328,#capitolbreach,5.793,-22.837,25.166
30,0.506,1375,pepper,7.226,-92.095,-81.719
31,0.507,286,journos,5.656,99.53,-96.616
