,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,73075,#trump,11.199,-70.244,-184.49
1,0.251,8456,#donaldtrump,9.043,-266.359,-96.657
2,0.3,26543,#biden,10.187,142.051,115.448
3,0.307,5567,#usa,8.625,233.261,143.09
4,0.33,6956,#maga,8.847,-260.219,43.974
5,0.364,279,#randomtrump,5.631,105.813,-19.978
6,0.376,3295,@potus,8.1,179.59,24.562
7,0.382,12,@kamilogil,2.485,124.847,-182.149
8,0.391,6,#newyorkgiants,1.792,-40.383,-15.232
9,0.394,10050,#trumptreason,9.215,-110.883,-35.518
10,0.407,21,#ujrajeya,3.045,-194.954,123.065
11,0.418,11,starebbe,2.398,-31.821,140.985
12,0.42,6,#philadelphiaeagles,1.792,7.127,-147.739
13,0.424,1208,#republicans,7.097,-61.278,-98.398
14,0.428,6,#dronevolt,1.792,3.108,70.489
15,0.436,14,@zinyemo,2.639,75.232,-101.999
16,0.436,2034,#trumpcoupattempt,7.618,-144.807,38.939
17,0.437,2816,#gop,7.943,-88.99,214.168
18,0.442,2251,#america,7.719,32.532,5.175
19,0.446,35,#basaramayacaksiniz,3.555,17.325,234.536
20,0.455,7423,#covid,8.912,10.89,-67.395
21,0.462,6,@room,1.792,-189.303,217.287
22,0.462,45,clizia,3.807,-68.208,49.684
23,0.464,2030,#china,7.616,159.218,-85.255
24,0.467,9932,#joebiden,9.204,-170.328,-209.55
25,0.471,973,#politics,6.88,129.717,210.595
26,0.477,8,@toppsin,2.079,-196.957,-29.862
27,0.478,7,#housingpolicy,1.946,-106.251,116.706
28,0.482,1401,#potus,7.245,83.444,60.68
29,0.482,8,@duhartkimberlie,2.079,31.372,-236.811
30,0.485,5,#offline,1.609,49.288,140.351
31,0.491,407974,trump,12.919,-142.071,-112.279
