,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,1370,#impeachmentday,7.223,31.764,-16.5
1,0.34,6,#haruto,1.792,-35.351,4.066
2,0.346,288,#impeachtrumpagainnow,5.663,-12.217,-1.951
3,0.381,941,#impeachtrump,6.847,48.089,54.514
4,0.403,10,@reddisari,2.303,-60.592,26.908
5,0.425,20,przegra,2.996,20.168,1.293
6,0.438,97,#hellonearth,4.575,3.925,10.982
7,0.448,99,#vacinaparatodos,4.595,21.317,-63.054
8,0.457,22,#harden,3.091,-44.785,-18.788
9,0.459,253,patriarchy,5.533,-15.413,18.923
10,0.462,14,#janeygodleyvoiceover,2.639,74.004,-35.703
11,0.464,74,#hoax,4.304,5.775,-14.019
12,0.471,1847,#election,7.521,49.423,27.137
13,0.491,5,#olivegarden,1.609,-5.494,-60.059
14,0.494,207,#cadeiaparabolsonaro,5.333,25.727,22.022
15,0.498,724,#americaortrump,6.585,-65.712,-2.108
16,0.499,62,witzel,4.127,-6.674,-34.935
17,0.503,587,#impeachedtwice,6.375,-40.671,53.484
18,0.503,101,#mail,4.615,16.372,-35.309
19,0.504,5,#nomeansno,1.609,-17.877,76.102
20,0.505,5,criem,1.609,41.493,3.171
21,0.511,428,#presidentelectbiden,6.059,1.381,55.045
22,0.511,53,@arilykaios,3.97,-35.623,-49.427
23,0.512,39,#democratsinciteviolence,3.664,5.246,31.632
24,0.514,52,#eelmattgaetz,3.951,66.188,-1.831
25,0.516,31,#jeffreyepstein,3.434,22.749,73.365
26,0.517,8,convesation,2.079,24.811,44.924
27,0.519,189,@blogdonoblat,5.242,-36.364,26.755
28,0.52,7,#trumpisadisgrace,1.946,-23.105,-20.314
29,0.52,90,#cadeiaparapazuello,4.5,-16.965,41.548
30,0.524,2169,#trumpimpeachment,7.682,-69.912,-29.383
31,0.526,248,apocalipse,5.513,41.901,-39.614
