,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,702,#impeachmentday,6.554,13.188,9.243
1,0.298,46,#qdefirating,3.829,12.078,-20.42
2,0.329,50,#designer,3.912,-38.317,-51.236
3,0.332,30,#rubinadilaik,3.401,-43.822,-80.427
4,0.403,11,#prosecuteseditiousrepublicans,2.398,-70.714,-63.664
5,0.438,37,#mainstreammedia,3.611,9.95,37.335
6,0.452,1061,#trumpimpeachment,6.967,40.611,-10.445
7,0.458,60,ksweepstakes,4.094,-58.586,67.298
8,0.459,646,#gopcomplicittraitors,6.471,49.234,17.434
9,0.462,176,patriarchy,5.17,7.836,-50.701
10,0.467,1368,#impeachtrump,7.221,-104.163,2.041
11,0.471,395,master,5.979,65.699,-74.71
12,0.473,53,#trumptraitors,3.97,-19.423,60.381
13,0.477,1323,keeping,7.188,-9.959,-72.336
14,0.479,603,#gopseditioustraitors,6.402,12.156,75.396
15,0.487,9,juntamente,2.197,-16.384,-102.17
16,0.496,4161,accountable,8.334,-42.811,36.515
17,0.497,5,#yhdysvallat,1.609,39.435,50.856
18,0.5,294,#constitution,5.684,-11.627,-4.989
19,0.504,18,neilia,2.89,82.228,4.769
20,0.505,12,#chile,2.485,-14.446,-34.388
21,0.505,49,#threats,3.892,-14.859,25.563
22,0.508,612,#americaortrump,6.417,-105.154,-36.764
23,0.508,69,#ffxiv,4.234,28.212,-71.053
24,0.513,970,privilege,6.877,71.367,-30.211
25,0.513,6,csir,1.792,74.715,58.976
26,0.515,83,#impeachtrumpagainnow,4.419,-35.876,7.325
27,0.516,191,#saopaulo,5.252,21.807,-105.097
28,0.518,13,#mtpol,2.565,-78.377,32.657
29,0.527,13,#incredibleindia,2.565,-66.894,-28.441
30,0.532,8,#save,2.079,-37.71,-20.209
31,0.533,771,complicit,6.648,-63.723,2.147
