True,Pred,Weeks
7.814399633804487,6.611615525893318,0
6.918695219020472,7.437408472458745,1
6.0330862217988015,6.877580559464294,2
5.908082938168931,6.288140673294298,3
6.411818267709897,6.165562427216926,4
6.089044875446846,6.490839951644541,5
5.8664680569332965,6.2715427655277995,6
6.82001636467413,6.096684133332272,7
5.762051382780177,6.72504580511945,8
6.133398042996649,6.049109725154047,9
6.118097198041348,6.2653283189816875,10
6.230481447578482,6.2479591999157815,11
6.501289670540389,6.311811166308451,12
6.814542897259958,6.483063228609028,13
7.57353126274595,6.68720194394763,14
7.101675971619444,7.186671004127316,15
7.3427791893318455,6.9100273069022515,16
6.587550014824796,7.0740686745936765,17
8.230577217146454,6.606663108627439,18
6.54534966033442,7.629781280125365,19
7.380879035564116,6.6400925963324084,20
7.102499355774649,7.1071726747456365,21
7.10085190894405,6.970101281783691,22
6.694562058521095,6.976629856218613,23
6.35088571671474,6.753561126138312,24
6.401917196727186,6.552220434234161,25
6.270988431858299,6.569712639889501,26
6.212606095751519,6.485234510552624,27
6.317164686747284,6.438197028879118,28
6.665683717782408,6.48784070930953,29
7.306531398939505,6.685777860244222,30
7.529406457837013,7.05901564720152,31
7.576097340623111,7.207831675927782,32
7.275172319452771,7.256712875268749,33
6.1779441140506,7.097118593291972,34
5.883322388488279,6.467546239056046,35
5.594711379601839,6.265992207933821,36
6.551080335043404,6.053985952334271,37
7.050122520269059,6.6202878747092155,38
6.089044875446846,6.918834990635405,39
6.003887067106539,6.365645905268006,40
7.165493475060845,6.293950219939011,41
6.672032945461067,6.963015684143574,42
6.2878585601617845,6.6961189627995745,43
6.466144724237619,6.473134546342241,44
7.141245122350491,6.566421316316465,45
8.011686729127847,6.948713799751886,46
6.45833828334479,7.462846463133284,47
5.87493073085203,6.61002335627379,48
7.499423290592229,6.270640660575594,49
6.493753839851686,7.138783769806792,50
6.222576268071369,6.633326960056043,51
6.338594078203183,6.4817072993296465,52
6.375024819828097,6.5317303593803535,53
6.345636360828596,6.544290276783208,54
6.490723534502507,6.522819025803552,55
6.075346031088684,6.593451103175296,56
6.07993319509559,6.369684505754491,57
6.077642243349034,6.3572576376184395,58
6.478509642208569,6.343990631810642,59
6.049733455231958,6.550945392992927,60
6.679599185844383,6.31899475085488,61
6.2878585601617845,6.646968646373094,62
7.337587743538596,6.442201087423934,63
6.501289670540389,6.989948038285139,64
6.486160788944089,6.568794955410554,65
6.565264970035361,6.55554794889525,66
6.07993319509559,6.594517990973317,67
7.280697195384741,6.341457084947348,68
6.3835066348840055,6.948821889640152,69
6.812345094177479,6.510782293729521,70
6.003887067106539,6.718577846457683,71
7.585788821732034,6.320534374394112,72
6.401917196727186,7.080903254268854,73
6.327936783729195,6.53709786199858,74
6.244166900663736,6.49401604424882,75
9.897570078772091,6.448696403064765,76
6.810142450115136,8.078629381216157,77
6.082218910376446,6.774488058013753,78
6.306275286948016,6.491579697681805,79
