,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,34541,#capitolriot,10.45,-29.051,23.492
1,0.316,8660,#insurrection,9.066,-84.077,-51.733
2,0.351,1585,#capitolriots,7.368,116.222,-123.235
3,0.368,12929,connection,9.467,83.569,55.207
4,0.385,12050,riley,9.397,-83.826,-113.62
5,0.403,11389,fleeing,9.34,-144.28,-26.79
6,0.405,1190,#trumpcoupattempt,7.082,-204.885,-68.694
7,0.409,28080,arrested,10.243,139.129,83.294
8,0.412,11521,june,9.352,45.1,189.473
9,0.421,12611,laptop,9.442,-147.643,47.775
10,0.422,5226,#capitol,8.561,-33.235,-160.329
11,0.426,460,#arrestthemallnow,6.131,-82.293,145.194
12,0.431,77,#enlighten,4.344,38.961,103.932
13,0.435,6348,#trumptreason,8.756,-21.07,75.746
14,0.438,12256,nashville,9.414,-12.881,139.658
15,0.442,12503,williams,9.434,-140.654,-111.049
16,0.443,358,#coupattempt,5.881,-202.614,10.354
17,0.444,10708,captured,9.279,153.558,-43.781
18,0.445,94,#seditontrack,4.543,29.607,-183.445
19,0.455,5,#cachaguagate,1.609,69.025,-12.573
20,0.466,3359,@fbi,8.119,27.954,-55.448
21,0.472,1211,#capitolhill,7.099,-21.059,-90.18
22,0.474,739,#magaterrorists,6.605,179.575,27.775
23,0.475,1027,#sedition,6.934,30.398,48.175
24,0.479,5,#thedeplorables,1.609,94.226,127.52
25,0.479,25244,well,10.136,17.562,-2.392
26,0.482,1578,#seditionhunters,7.364,35.878,-118.727
27,0.485,451,#domesticterrorists,6.111,91.301,-67.703
28,0.492,730,#trumpinsurrection,6.593,-79.74,78.621
29,0.493,655,#traitors,6.485,-84.895,15.834
30,0.495,997,scrubbed,6.905,120.082,10.944
31,0.495,5,consolide,1.609,-101.218,-206.1
