,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,4994,#nationalguard,8.516,6.098,-0.217
1,0.22,2030,#dclockdown,7.616,-25.675,5.388
2,0.261,1543,#dcmilitary,7.341,-21.442,17.94
3,0.307,5,@ukincyprus,1.609,-21.698,31.208
4,0.316,2748,#capitolbuilding,7.919,-5.204,-2.291
5,0.322,2713,guards,7.906,-11.105,-26.161
6,0.357,15846,#washingtondc,9.671,-17.615,-4.842
7,0.395,545,#military,6.301,-34.942,18.529
8,0.404,4767,#uscapitol,8.469,-21.661,-17.801
9,0.413,15,@sanjayazadsln,2.708,27.384,-12.201
10,0.445,361,nyel,5.889,2.883,-11.481
11,0.447,1864,carrying,7.53,12.833,37.394
12,0.465,13,#repstevecohen,2.565,-41.165,1.899
13,0.466,8,#tbr,2.079,20.126,1.962
14,0.47,1491,extra,7.307,11.085,10.261
15,0.474,258,unit,5.553,-29.999,-8.243
16,0.474,57,pawtect,4.043,31.515,8.891
17,0.482,12,#diarrheaofthemouth,2.485,20.898,19.77
18,0.484,870,shields,6.768,14.315,-8.424
19,0.484,1173,#capitolhill,7.067,41.28,-6.96
20,0.491,73018,#inauguration,11.198,5.323,22.226
21,0.497,4650,#capitol,8.445,28.124,-28.799
22,0.498,11,balan,2.398,-3.868,33.181
23,0.516,12,#breakingbad,2.485,-12.569,6.783
24,0.517,88,#lansing,4.477,-8.677,-13.489
25,0.519,779,knee,6.658,11.28,-36.453
26,0.522,17,absperrgitter,2.833,-6.301,-40.8
27,0.525,251422,guard,12.435,13.521,-20.885
28,0.53,2986,#bideninauguration,8.002,-42.149,-21.239
29,0.53,21,#serenelee,3.045,-8.169,19.795
30,0.531,22,#brianpeck,3.091,1.136,-23.419
31,0.531,5229,streets,8.562,-0.873,9.554
