,Date (GMT),Count
289,2014-01-29,0
290,2014-01-30,0
291,2014-01-31,1
292,2014-02-01,0
293,2014-02-02,0
294,2014-02-03,0
295,2014-02-04,0
296,2014-02-05,0
297,2014-02-06,0
298,2014-02-07,0
299,2014-02-08,0
300,2014-02-09,0
301,2014-02-10,0
302,2014-02-11,0
303,2014-02-12,0
304,2014-02-13,0
305,2014-02-14,0
306,2014-02-15,0
307,2014-02-16,0
308,2014-02-17,0
309,2014-02-18,0
310,2014-02-19,0
311,2014-02-20,0
312,2014-02-21,0
313,2014-02-22,0
314,2014-02-23,0
315,2014-02-24,0
316,2014-02-25,0
317,2014-02-26,1
318,2014-02-27,1
319,2014-02-28,1
320,2014-03-01,0
321,2014-03-02,0
322,2014-03-03,0
323,2014-03-04,0
324,2014-03-05,0
325,2014-03-06,0
326,2014-03-07,0
327,2014-03-08,0
328,2014-03-09,0
329,2014-03-10,0
330,2014-03-11,0
331,2014-03-12,0
332,2014-03-13,0
333,2014-03-14,0
334,2014-03-15,0
335,2014-03-16,0
336,2014-03-17,0
337,2014-03-18,0
338,2014-03-19,0
339,2014-03-20,1
340,2014-03-21,0
341,2014-03-22,0
342,2014-03-23,0
343,2014-03-24,0
344,2014-03-25,1
345,2014-03-26,0
346,2014-03-27,0
347,2014-03-28,0
348,2014-03-29,0
349,2014-03-30,0
350,2014-03-31,0
351,2014-04-01,0
352,2014-04-02,0
353,2014-04-03,0
354,2014-04-04,1
355,2014-04-05,0
356,2014-04-06,0
357,2014-04-07,0
358,2014-04-08,0
359,2014-04-09,0
360,2014-04-10,2
361,2014-04-11,0
362,2014-04-12,2
363,2014-04-13,0
364,2014-04-14,0
365,2014-04-15,3
366,2014-04-16,6
367,2014-04-17,1
368,2014-04-18,1
369,2014-04-19,1
370,2014-04-20,0
371,2014-04-21,1
372,2014-04-22,0
373,2014-04-23,0
374,2014-04-24,1
375,2014-04-25,0
376,2014-04-26,0
377,2014-04-27,0
378,2014-04-28,0
379,2014-04-29,0
380,2014-04-30,0
381,2014-05-01,0
382,2014-05-02,0
383,2014-05-03,0
384,2014-05-04,0
385,2014-05-05,0
386,2014-05-06,0
387,2014-05-07,0
388,2014-05-08,0
389,2014-05-09,0
390,2014-05-10,0
391,2014-05-11,0
392,2014-05-12,0
393,2014-05-13,0
394,2014-05-14,0
395,2014-05-15,0
396,2014-05-16,0
397,2014-05-17,0
398,2014-05-18,0
399,2014-05-19,0
400,2014-05-20,0
401,2014-05-21,0
