,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,4271,#bostonbombings,8.36,129.218,-38.25
1,0.206,139,cope,4.934,-280.27,85.504
2,0.274,1824,#boston,7.509,-21.308,-128.116
3,0.284,11,#rip,2.398,-73.725,299.301
4,0.289,14,memorial,2.639,-85.933,-192.269
5,0.292,7,#sot,1.946,-180.426,-164.521
6,0.3,41,#falseflag,3.714,-191.54,23.759
7,0.331,24,think,3.178,11.534,183.808
8,0.335,2741,boston,7.916,195.177,115.534
9,0.346,12,#prayersforboston,2.485,-229.626,223.318
10,0.349,32,herald,3.466,-106.946,61.65
11,0.355,20,#suspect,2.996,-95.106,186.055
12,0.365,14,#tsarnaevtrial,2.639,-184.818,-66.876
13,0.37,79,today,4.369,39.829,88.696
14,0.376,94,#bostonstrong,4.543,-169.213,124.019
15,0.376,18,#bostonmanhunt,2.89,48.674,-84.495
16,0.38,18,#pray,2.89,-28.114,-44.822
17,0.387,13,#bostonterror,2.565,110.067,-141.186
18,0.395,482,#bostonmarathon,6.178,-101.148,-100.71
19,0.401,17,wrong,2.833,104.138,-271.569
20,0.406,39,#breaking,3.664,-26.887,34.522
21,0.407,114,#prayforboston,4.736,-107.544,-18.322
22,0.418,13,government,2.565,29.956,-202.782
23,0.421,437,bombings,6.08,-42.725,115.735
24,0.426,219,#watertown,5.389,94.052,268.776
25,0.427,74,#usa,4.304,-290.204,-78.728
26,0.435,59,#cnn,4.078,106.434,156.362
27,0.439,91,#israeltheregion,4.511,118.796,53.269
28,0.441,30,#marathon,3.401,-46.672,-295.15
29,0.446,9,thursday,2.197,48.881,-0.732
30,0.449,30,#jewishtimes,3.401,212.98,14.209
31,0.453,447,marathon,6.103,210.02,-95.683
