,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,9883,#joebiden,9.199,-38.296,29.637
1,0.207,19800,#biden,9.893,-16.87,80.618
2,0.213,5,#stipemesic,1.609,-113.987,56.655
3,0.34,4822,#bidenharris,8.481,4.495,39.147
4,0.366,1863,#america,7.53,79.345,89.449
5,0.367,3851,#kamalaharris,8.256,-28.125,-64.026
6,0.381,3532,#bidenharrisinauguration,8.17,30.962,82.884
7,0.385,37,#php,3.611,93.489,45.378
8,0.391,202,@unhumanrights,5.308,-46.052,-19.17
9,0.398,25482,@joebiden,10.146,147.355,-34.087
10,0.4,6050,#usa,8.708,-133.164,-15.325
11,0.4,11053,#donaldtrump,9.31,-80.643,-53.142
12,0.417,110,#eritreaoutoftigray,4.7,50.196,-138.795
13,0.419,377,#bidencrimefamilly,5.932,23.695,-81.811
14,0.421,135,#bumpup,4.905,-83.352,11.518
15,0.426,60532,#trump,11.011,55.536,132.693
16,0.429,34,#copelandnetwork,3.526,-106.713,-102.09
17,0.436,179,#stoptigraygenocide,5.187,94.588,-38.539
18,0.446,11,@maruvilla,2.398,124.93,-85.304
19,0.447,643,#president,6.466,30.162,0.889
20,0.448,939,#whitehouse,6.845,-48.198,-104.697
21,0.449,28065,#inauguration,10.242,-3.42,-124.501
22,0.453,137,#humanitariancorridor,4.92,133.725,85.486
23,0.464,10,#komunizm,2.303,69.567,-83.442
24,0.465,72,#grenfelltower,4.277,-9.796,0.243
25,0.467,11,@magepetorr,2.398,-2.124,131.33
26,0.472,36064,#inaugurationday,10.493,4.68,-37.239
27,0.473,35,#democracygumbo,3.555,143.393,31.757
28,0.473,13,#unitedstatescongress,2.565,46.84,40.444
29,0.473,5,#killer,1.609,48.103,-39.984
30,0.475,13,#rohitchopra,2.565,73.398,2.268
31,0.478,178,@ladylibertyinex,5.182,-61.181,69.121
