,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,10505,#impeachment,9.26,-4.918,-23.215
1,0.189,2578,#impeachmentja,7.855,10.619,28.625
2,0.218,3932,#impeachmentbolsonarourgente,8.277,1.207,2.512
3,0.238,2576,#impeachmentbolsonaro,7.854,-17.887,-16.05
4,0.291,2466,#forabolsonaro,7.81,-22.128,-3.93
5,0.314,789,#forabolsonarogenocida,6.671,-10.264,6.229
6,0.37,579,#impeachementsalvavidas,6.361,12.165,10.894
7,0.384,12,#imperiodementiras,2.485,-23.081,8.537
8,0.389,9983,#queremosimpeachment,9.209,-13.175,18.91
9,0.394,611,#impeachmentdebolsonaro,6.415,25.737,22.41
10,0.407,193,#impeachtrumpagainnow,5.263,-9.236,-6.615
11,0.434,39,censuriamolo,3.664,25.827,5.074
12,0.437,17,@khintiia,2.833,-32.709,36.406
13,0.438,22,#forapazuellogenocida,3.091,-37.274,15.204
14,0.449,164,#bolsonarismomata,5.1,-4.2,29.883
15,0.449,8548,deputado,9.053,2.706,-11.029
16,0.45,239,#forapazuello,5.476,8.764,-39.072
17,0.458,149,saude,5.004,0.658,16.62
18,0.459,1171,senhor,7.066,-48.071,28.512
19,0.461,3138,#placardoimpeachment,8.051,-24.171,-29.736
20,0.461,954,#queremosimpeachmeant,6.861,-17.398,53.899
21,0.467,5691,#convicttrump,8.647,-45.786,-9.34
22,0.467,5,@kenseiniten,1.609,-9.474,-38.482
23,0.468,32,#bolsolira,3.466,-26.487,22.818
24,0.468,1066,@senategop,6.972,-35.103,0.777
25,0.468,374,#adeusbolsonaro,5.924,13.109,-21.1
26,0.469,5,@sgtbrowns,1.609,13.762,-4.031
27,0.469,2543,@jairbolsonaro,7.841,-17.912,33.744
28,0.469,5664,@rodrigomaia,8.642,-53.228,7.698
29,0.47,11027,#impeachmentsalvavidas,9.308,-32.849,-16.956
30,0.471,53,#charges,3.97,-43.369,-29.232
31,0.473,26,inem,3.258,-0.544,45.609
