,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,4797,#inaugurationday,8.476,6.598,-27.256
1,0.373,3820,#bidenharris,8.248,0.774,-15.767
2,0.395,1470,#bideninauguration,7.293,12.854,-22.181
3,0.448,7802,#washingtondc,8.962,-0.311,-22.692
4,0.449,32685,@joebiden,10.395,5.781,-2.546
5,0.449,1621,installing,7.391,2.922,-8.973
6,0.453,5,#joebidenlegalizaopedosexualismo,1.609,-5.922,-18.06
7,0.456,12397,@kamalaharris,9.425,-13.231,-20.505
8,0.459,78,#bumpup,4.357,14.436,-14.956
9,0.46,17,@sidneyleite,2.833,13.209,-31.462
10,0.479,14,#poliziotto,2.639,19.675,-8.405
11,0.479,5,ydqeewsw,1.609,-8.929,-5.627
12,0.482,8,#shopsmall,2.079,15.292,-0.998
13,0.488,2380,miss,7.775,7.652,-13.837
14,0.491,8,#gojoe,2.079,-7.068,-25.49
15,0.495,546,#january,6.303,-14.926,-28.392
16,0.498,11,#mvpprops,2.398,21.831,-16.928
17,0.5,809,#americaortrump,6.696,19.68,-25.477
18,0.502,18,ruwa,2.89,11.137,-7.745
19,0.505,3855,weekend,8.257,-16.785,-5.856
20,0.506,345,#byedon,5.844,4.793,-35.881
21,0.511,26127,#biden,10.171,-3.942,-10.943
22,0.514,6674,#capitolbuilding,8.806,-11.246,-12.925
23,0.515,10321,join,9.242,6.193,-20.298
24,0.515,13,@silascamara,2.565,-6.952,-34.258
25,0.516,2571,resilience,7.852,-1.896,-3.502
26,0.521,18,kuduru,2.89,-9.287,2.037
27,0.525,7,@unnuevodia,1.946,-19.236,-15.181
28,0.529,3361,#capitolriot,8.12,-0.44,4.281
29,0.532,68,#inaugurationcancelled,4.22,8.511,4.707
30,0.534,330,#buildbackbetter,5.799,-0.471,-29.793
